FREQ_ID,FREQ_NAME,REF_AREA_ID,REF_AREA_NAME,INDICATOR_ID,INDICATOR_NAME,UNIT_MEASURE_ID,UNIT_MEASURE_NAME,AGG_METHOD_ID,AGG_METHOD_NAME,DECIMALS_ID,DECIMALS_NAME,DATABASE_ID_ID,DATABASE_ID_NAME,COMMENT_TS,UNIT_MULT_ID,UNIT_MULT_NAME,DATA_SOURCE_ID,DATA_SOURCE_NAME,OBS_STATUS_ID,OBS_STATUS_NAME,OBS_CONF_ID,OBS_CONF_NAME,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,Annual,ABW,Aruba,WB_WDI_NY_GDP_MKTP_KD_ZG,GDP growth (annual %),PC_A,Percentage change per annum,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),GDP growth (annual %),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,16.07843137559024,18.64864866823311,12.12984054519239,3.961401723606286,7.96287173232642,5.882353953418658,7.307693245314056,8.203901293120893,2.54714368704694,1.185788511346558,7.046874992412214,1.991984449061988,1.238041842071596,7.622920649302216,4.182001630477899,-0.944953481157384,1.11050459944282,7.293728070961919,-0.3831376720637678,1.127411464116236,3.089544384850896,1.835755171913675,-11.67774136938519,-2.733456792506388,3.369237184215109,-1.040799884366834,6.431482604188218,-1.58657513817235,-0.6236259023712449,1.719624979894419,7.04853338603499,2.397085276210447,-2.232440391605678,-26.21182078288027,24.13262735697978,8.517918105175454,4.263719414529476
A,Annual,AFE,Africa Eastern and Southern,WB_WDI_NY_GDP_MKTP_KD_ZG,GDP growth (annual %),PC_A,Percentage change per annum,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),GDP growth (annual %),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,0.4687363477354296,7.869708736909558,5.622373699423889,4.690458079038294,5.159573705690818,4.822754143433542,5.373501537573105,4.153709757896422,5.090730948613981,1.131789639320544,5.478625207452168,2.770046058387933,4.60682507052519,5.475577961840912,1.404899381961286,2.382626339736021,1.122200141818425,1.509365612436014,2.930458737665958,5.462682981904649,4.01252691480731,0.3158316264770349,0.0399468363545167,3.366386627393283,-0.1288468395126472,2.265843482938919,3.954449354770603,4.273154879539675,2.694560946200639,0.1751446596981197,-0.0977089361844889,-2.346775948307794,-0.5991052684153431,1.928967313102262,4.283421681947331,5.451990413410243,3.842286549623125,1.752274980424517,2.649921086215997,3.214946098940047,3.505726468720582,3.836077992722949,2.956241262391515,5.55539685526702,6.163380043104809,6.577873718008291,6.647020995277202,4.3681866847338,0.8709839636039618,5.231635802478166,4.064941366378775,1.746871185423288,4.341457844845564,3.992862552448244,3.004936899262333,2.194760890543407,2.684543053780047,2.666631828410203,2.194318527276721,-2.864292510598958,4.576392802123806,3.553878363946467,2.32013780158924
A,Annual,AFG,Afghanistan,WB_WDI_NY_GDP_MKTP_KD_ZG,GDP growth (annual %),PC_A,Percentage change per annum,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),GDP growth (annual %),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.431974070086198,28.60000117067884,8.832277802882672,1.414117993394285,11.2297148272859,5.357403247485919,13.82631954712814,3.924983819994665,21.39052839264923,14.36244147107372,0.4263547767773446,12.75228709266973,5.600744658632209,2.724543362195647,1.451314660664309,2.260314202798213,2.647003202745097,1.189228129445169,3.911603416255517,-2.351100672034661,-20.73883936763433,-6.240171992402693,2.710886791283528
A,Annual,AFW,Africa Western and Central,WB_WDI_NY_GDP_MKTP_KD_ZG,GDP growth (annual %),PC_A,Percentage change per annum,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),GDP growth (annual %),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,1.873054062165778,3.712776734281206,7.11196790337776,5.413942934021037,4.120854785366674,-1.517705140805049,-9.04361966395031,1.567103023818646,15.2201558318751,17.50848050849854,10.54059532212932,3.162877761672675,4.015128348089576,10.02016978868143,-2.13860051606828,8.425574968495582,4.56509756423506,-1.930750399876985,5.095242701657938,1.932434091773615,-6.747900829728891,-3.255237483186235,-6.338857158315804,0.5300067316818655,5.3319108289664,1.359411063252168,1.437510025646532,4.654848809927302,1.710025465960058,5.761095557599589,1.016256453816553,2.371856893365916,-1.306531909030483,-0.3303441193086059,1.87787174174187,4.638935159698818,4.409331972583729,3.603307206735764,1.533627574420237,3.86847941268536,5.172056042052304,9.97480183376682,5.545940594358484,7.987541625667944,5.823984125505689,5.371145726745752,5.530762585563281,6.278629231048669,6.271878282355331,6.969524039837268,4.853027842415216,5.168218836769327,6.160028842905689,5.920022961384348,2.720364536163643,0.1607820969306886,2.28981037958782,2.844755416623784,3.232902511936999,-1.003994039592968,4.037629513509671,3.789679845799469,3.354732819000205
A,Annual,AGO,Angola,WB_WDI_NY_GDP_MKTP_KD_ZG,GDP growth (annual %),PC_A,Percentage change per annum,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),GDP growth (annual %),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,-4.400001218650445,0.0,4.200001428537448,6.000002165090606,3.499999490086239,2.900001742468589,4.08274863510718,6.128890477650884,0.0416214618374652,-3.45009868500253,0.9913593020447422,-5.838280733131413,-23.9834174420578,1.339363436479914,15.00000002886337,13.54436975510257,7.274277354603726,4.69114645093552,2.181489718404578,3.054624234307852,4.205998556195098,13.66568876085617,2.990000000000009,10.95000000594648,15.02999999055132,11.54999999787903,14.0100000086059,11.16999999421463,0.8600000021527876,4.398375938107634,3.472053147981029,8.542107075841415,4.95461303112738,4.822559269621564,0.9435715613250012,-2.580049644049325,-0.1472129410857548,-1.316361688968954,-0.7022729576160174,-5.638214717149339,1.199210521451533,3.044726523919181,1.001289360282982
A,Annual,ALB,Albania,WB_WDI_NY_GDP_MKTP_KD_ZG,GDP growth (annual %),PC_A,Percentage change per annum,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),GDP growth (annual %),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,5.745635292281221,2.948596801189481,1.104938261950437,-1.251596644058111,1.780643959249034,5.637243178521118,-0.7878426549272461,-1.420039655663913,9.836548971872276,-9.575640169934148,-28.00214165590987,-7.187110915000375,9.559411684931504,8.302866596996708,13.32233332168397,9.099999436463603,-10.91998407813911,8.829423758398065,12.89080364077633,6.946216592442539,8.293312631210227,4.536524160356748,5.528637464917878,5.514667910979142,5.526424246954647,5.902659035919243,5.98325951855567,7.500041430201506,3.354289349874605,3.706938152553192,2.545406144501044,1.417242799907797,1.00201754071108,1.774448852603939,2.218726375178036,3.31498068384137,3.802598720190531,4.019345616955761,2.06256753999989,-3.313716147120829,8.969553391789347,4.826688314344366,3.936625257421667
A,Annual,AND,Andorra,WB_WDI_NY_GDP_MKTP_KD_ZG,GDP growth (annual %),PC_A,Percentage change per annum,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),GDP growth (annual %),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,4.649465355564672,8.14974352749283,7.788467245323176,5.618789627392971,0.5422056697295403,3.303787053284509,2.838575569068368,1.463000169815814,0.0415572233591206,2.20872761148199,-0.132474492519691,1.246461138171597,1.770118270834558,1.784686672291897,2.321433034284652,3.253321828475308,5.547122161133515,5.094326194484083,4.827034272443086,3.78138754899436,2.54600353080194,0.929214040125956,-1.031484389998951,2.383182248211796,2.757501613262491,4.649738667547069,9.067672051441347,3.194793392892365,4.099078921779295,3.528362361223884,8.119357721699487,4.546362213646532,8.694203716124676,8.135676338373514,5.397795985004223,4.80868869916921,1.553188141032223,-5.559186368505806,-5.302846543482914,-1.974957999653455,-0.0080697534113909,-4.974443718535028,-3.547596515493439,2.504465521145178,1.434140395227161,3.709678069789859,0.346071889630295,1.588765490463544,2.015547638483085,-11.18393993553839,8.28677879049404,9.564612256481835,2.58355480961319
A,Annual,ARB,Arab World,WB_WDI_NY_GDP_MKTP_KD_ZG,GDP growth (annual %),PC_A,Percentage change per annum,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),GDP growth (annual %),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,6.772778392474279,10.8010731446512,7.463789274740492,22.75538851956418,7.442421293184751,13.92003902403442,13.25919137800686,10.48023680974876,0.0009316324552059,14.31291641906857,6.619734175756122,2.955442615241239,10.65044914745926,6.30061912725202,0.8373621821872632,-5.91497336244062,-3.717641136229062,1.272167919365927,-0.8101009610460039,-0.8098726191948344,0.2720544091754107,3.25517870035641,3.835555677710261,7.847293206280099,-0.7382543799861025,6.571087877402874,3.272529191035403,3.370755466537091,2.812603464381084,4.827224243310141,5.462875423506361,4.770616331221021,2.791632547293375,6.354123171125508,2.103103221764229,1.229341639864685,4.281253910372456,9.076592829110112,5.569287093114909,6.295488541256361,4.609900390807013,5.565642707963775,0.6490511331669353,4.836465320907195,3.569351213175651,5.002705660950909,2.550328132189762,2.522351465261877,3.243988903098554,3.614306799339246,1.537753313510535,2.630040035108465,1.583714663542509,-4.711784242887688,4.031106353093676,5.721433108554393,1.020751343150252
A,Annual,ARE,United Arab Emirates,WB_WDI_NY_GDP_MKTP_KD_ZG,GDP growth (annual %),PC_A,Percentage change per annum,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),GDP growth (annual %),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,36.61237785330897,39.07963758866663,76.62015503676085,14.4980412677649,6.227401388627854,16.52685650611001,21.4393301703121,-1.589603319858611,20.92357307684878,23.87477491065295,4.659176673983325,-6.719316185680796,-4.745820699852857,4.016951279512227,-3.594476517386084,-14.95813656462155,3.381981709110192,-2.618907703791251,12.33789128212301,18.32798553363064,0.8600819477177879,3.344944858494387,1.261190945666371,6.896148553437769,6.687886459726371,5.798404069199648,8.190398649168799,0.2919943420941422,2.902213639632862,10.85270421537798,1.399085037066754,2.433456810896175,8.800540813553283,9.566436637670565,4.85514119553352,9.837319769239585,3.184390173246072,3.19183627331816,-5.242921903850274,1.602850048448019,6.216121813371871,1.824480788701877,5.055559654259881,4.165691842561785,6.786772879452158,5.561490754967991,0.7350687131656457,1.313913881411182,1.108348138930992,-4.957052436527391,4.354755299213053,7.509697032218355,3.618706535471745
A,Annual,ARG,Argentina,WB_WDI_NY_GDP_MKTP_KD_ZG,GDP growth (annual %),PC_A,Percentage change per annum,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),GDP growth (annual %),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,5.42784287621933,-0.8520215219033389,-5.308196825391263,10.13029766154307,10.5694333376394,-0.6597261706298241,3.191996623391773,4.822500779324244,9.679526010783263,3.045643319171148,5.658131081849248,1.628416518259385,2.811754038490349,5.533804395773601,-0.0284121037110907,-2.018251516833942,6.93414775653342,-4.506124802013588,10.22276346386812,1.518783949901788,-5.189789141355931,-0.7356591591036192,4.349093279267564,1.570738701820233,-5.189024353439038,6.153377062756931,2.704868827705582,-1.089933341337911,-7.156949655979531,-2.467213778104721,9.133110567389608,7.937291556430765,8.206979072212278,5.836200703685265,-2.845209610570791,5.526689827152339,8.111046770745702,3.850178851562276,-3.385457040632687,-0.7889989390569099,-4.408839682585565,-10.89448482859028,8.83704079576924,9.02957330068152,8.851659920134367,8.047151500430274,9.007650875047574,4.057233103464057,-5.918525076349468,10.12539815610023,6.003951692805785,-1.026420454432099,2.405323780794362,-2.512615320813936,2.731159828289435,-2.080327843778107,2.818502977759181,-2.617396462820381,-2.000861002857846,-9.9004848136464,10.44181198825056,5.26987967384072,-1.611001620901888
